reservation_id,user_id,campaign_id,product_id,site,reservation_time,ingestion_time
R00094,U0094,C003,P003,SG,2026-07-11 17:14:00,2026-07-11 17:23:00
R00095,U0095,C003,P003,SG,2026-07-14 22:02:00,2026-07-14 22:08:00
R00096,U0096,C003,P003,SG,2026-07-10 03:53:00,2026-07-10 03:59:00
R00097,U0097,C003,P003,SG,2026-07-10 07:29:00,2026-07-10 07:50:00
R00098,U0098,C003,P003,SG,2026-07-09 18:38:00,2026-07-09 19:21:00
R00099,U0099,C003,P003,SG,2026-07-09 05:49:00,2026-07-09 06:04:00
R00100,U0100,C003,P003,SG,2026-07-09 03:37:00,2026-07-09 03:43:00
R00101,U0101,C003,P003,SG,2026-07-14 03:43:00,2026-07-14 04:12:00
R00102,U0102,C003,P003,SG,2026-07-11 05:54:00,2026-07-11 06:37:00
R00103,U0103,C003,P003,SG,2026-07-14 00:50:00,2026-07-14 00:57:00
R00104,U0104,C003,P003,SG,2026-07-08 03:54:00,2026-07-08 04:25:00
R00105,U0105,C003,P003,SG,2026-07-09 03:27:00,2026-07-09 03:55:00
R00106,U0106,C003,P003,SG,2026-07-14 22:17:00,2026-07-14 23:01:00
R00107,U0107,C003,P003,SG,2026-07-13 17:49:00,2026-07-13 18:24:00
R00108,U0108,C003,P003,SG,2026-07-08 22:17:00,2026-07-08 22:50:00
R00109,U0109,C003,P003,SG,2026-07-13 06:54:00,2026-07-13 07:19:00
R00110,U0110,C003,P003,SG,2026-07-14 08:44:00,2026-07-14 09:06:00
R00111,U0111,C003,P003,SG,2026-07-10 13:44:00,2026-07-10 14:19:00
R00112,U0112,C003,P003,SG,2026-07-13 05:28:00,2026-07-13 05:34:00
R00113,U0113,C003,P003,SG,2026-07-11 22:30:00,2026-07-11 23:10:00
R00114,U0114,C003,P003,SG,2026-07-10 21:19:00,2026-07-10 21:40:00
R00115,U0115,C003,P003,SG,2026-07-09 23:12:00,2026-07-09 23:30:00
R00116,U0116,C003,P003,SG,2026-07-10 22:46:00,2026-07-10 23:28:00
R00117,U0117,C003,P003,SG,2026-07-13 14:38:00,2026-07-13 15:01:00
R00118,U0118,C003,P003,SG,2026-07-10 01:18:00,2026-07-10 01:37:00
R00119,U0119,C003,P003,SG,2026-07-08 13:35:00,2026-07-08 13:58:00
R00120,U0120,C003,P003,SG,2026-07-09 08:40:00,2026-07-09 09:16:00
R00121,U0121,C003,P003,SG,2026-07-09 23:03:00,2026-07-09 23:24:00
R00122,U0122,C003,P003,SG,2026-07-13 02:07:00,2026-07-13 02:16:00
R00123,U0123,C003,P003,SG,2026-07-14 00:19:00,2026-07-14 00:29:00
R00124,U0124,C003,P003,SG,2026-07-09 06:35:00,2026-07-09 07:06:00
R00125,U0125,C003,P003,SG,2026-07-12 17:19:00,2026-07-12 18:01:00
R00126,U0126,C003,P003,SG,2026-07-11 06:36:00,2026-07-11 07:20:00
R00127,U0127,C003,P003,SG,2026-07-10 19:42:00,2026-07-10 19:52:00
R00128,U0128,C003,P003,SG,2026-07-14 08:30:00,2026-07-14 08:53:00
R00129,U0129,C003,P003,SG,2026-07-10 11:59:00,2026-07-10 12:20:00
R00130,U0130,C003,P003,SG,2026-07-14 16:37:00,2026-07-14 16:54:00
R00131,U0131,C003,P003,SG,2026-07-08 18:03:00,2026-07-08 18:18:00
R00132,U0132,C003,P003,SG,2026-07-14 08:47:00,2026-07-14 09:28:00
R00133,U0133,C003,P003,SG,2026-07-12 16:07:00,2026-07-12 16:41:00
R00134,U0134,C003,P003,SG,2026-07-12 07:17:00,2026-07-12 07:54:00
R00135,U0135,C003,P003,SG,2026-07-14 10:16:00,2026-07-14 10:22:00
R00136,U0136,C004,P004,MY,2026-07-12 20:36:00,2026-07-12 20:43:00
R00137,U0137,C004,P004,MY,2026-07-11 20:30:00,2026-07-11 21:08:00
R00138,U0138,C004,P004,MY,2026-07-12 23:11:00,2026-07-12 23:53:00
R00139,U0139,C004,P004,MY,2026-07-11 02:54:00,2026-07-11 03:09:00
R00140,U0140,C004,P004,MY,2026-07-15 20:02:00,2026-07-15 20:36:00
R00141,U0141,C004,P004,MY,2026-07-10 00:42:00,2026-07-10 01:21:00
R00142,U0142,C004,P004,MY,2026-07-16 16:28:00,2026-07-16 16:36:00
R00143,U0143,C004,P004,MY,2026-07-15 04:07:00,2026-07-15 04:13:00
R00144,U0144,C004,P004,MY,2026-07-16 11:51:00,2026-07-16 12:11:00
R00145,U0145,C004,P004,MY,2026-07-13 07:35:00,2026-07-13 07:40:00
R00146,U0146,C004,P004,MY,2026-07-10 23:14:00,2026-07-10 23:26:00
R00147,U0147,C004,P004,MY,2026-07-13 02:32:00,2026-07-13 02:54:00
R00148,U0148,C004,P004,MY,2026-07-12 00:58:00,2026-07-12 01:41:00
R00149,U0149,C004,P004,MY,2026-07-11 10:55:00,2026-07-11 11:04:00
R00150,U0150,C004,P004,MY,2026-07-10 00:18:00,2026-07-10 00:42:00
R00151,U0151,C004,P004,MY,2026-07-16 04:42:00,2026-07-16 05:18:00
R00152,U0152,C004,P004,MY,2026-07-14 18:34:00,2026-07-14 19:09:00
R00153,U0153,C004,P004,MY,2026-07-12 00:44:00,2026-07-12 01:04:00
R00154,U0154,C004,P004,MY,2026-07-12 11:54:00,2026-07-12 12:25:00
R00155,U0155,C004,P004,MY,2026-07-16 22:09:00,2026-07-16 22:45:00
R00156,U0156,C004,P004,MY,2026-07-11 08:32:00,2026-07-11 09:14:00
R00157,U0157,C004,P004,MY,2026-07-14 20:00:00,2026-07-14 20:14:00
R00158,U0158,C004,P004,MY,2026-07-14 05:41:00,2026-07-14 05:51:00
R00159,U0159,C004,P004,MY,2026-07-15 16:24:00,2026-07-15 16:49:00
R00160,U0160,C004,P004,MY,2026-07-15 04:55:00,2026-07-15 05:34:00
R00161,U0161,C004,P004,MY,2026-07-10 23:27:00,2026-07-10 23:38:00
R00162,U0162,C004,P004,MY,2026-07-11 01:28:00,2026-07-11 01:43:00
R00163,U0163,C004,P004,MY,2026-07-10 07:02:00,2026-07-10 07:27:00
R00164,U0164,C004,P004,MY,2026-07-13 03:22:00,2026-07-13 03:50:00
R00165,U0165,C004,P004,MY,2026-07-10 20:39:00,2026-07-10 21:08:00
R00166,U0166,C004,P004,MY,2026-07-12 13:31:00,2026-07-12 14:13:00
R00167,U0167,C004,P004,MY,2026-07-14 23:57:00,2026-07-15 00:20:00
R00168,U0168,C004,P004,MY,2026-07-11 16:04:00,2026-07-11 16:37:00
R00169,U0169,C004,P004,MY,2026-07-16 06:19:00,2026-07-16 07:04:00
R00170,U0170,C004,P004,MY,2026-07-12 16:29:00,2026-07-12 16:53:00
R00171,U0171,C004,P004,MY,2026-07-13 19:36:00,2026-07-13 19:59:00
R00172,U0172,C004,P004,MY,2026-07-13 03:01:00,2026-07-13 03:31:00
R00173,U0173,C004,P004,MY,2026-07-15 07:53:00,2026-07-15 08:16:00
R00174,U0174,C004,P004,MY,2026-07-12 10:38:00,2026-07-12 11:05:00
R00175,U0175,C004,P004,MY,2026-07-16 16:41:00,2026-07-16 16:48:00
R00176,U0176,C004,P004,MY,2026-07-13 03:20:00,2026-07-13 03:51:00
R00177,U0177,C004,P004,MY,2026-07-12 21:53:00,2026-07-12 22:08:00
R00178,U0178,C004,P004,MY,2026-07-14 23:04:00,2026-07-14 23:18:00
R00179,U0179,C004,P004,MY,2026-07-12 09:55:00,2026-07-12 10:25:00
R00180,U0180,C004,P004,MY,2026-07-15 22:23:00,2026-07-15 22:33:00
R00181,UA000,C003,P003,SG,2026-07-31 09:00:00,2026-07-31 13:00:00
R00182,UA001,C003,P003,SG,2026-07-31 09:01:00,2026-07-31 13:01:00
R00183,UA002,C003,P003,SG,2026-07-31 09:02:00,2026-07-31 13:02:00
R00184,UA003,C003,P003,SG,2026-07-31 09:03:00,2026-07-31 13:03:00
R00185,UA004,C003,P003,SG,2026-07-31 09:04:00,2026-07-31 13:04:00
