order_id,user_id,product_id,site,order_time,order_status,payment_status,payment_time,order_amount,ingestion_time
O00042,U0066,P002,MY,2026-07-17 10:07:00,COMPLETED,SUCCESS,2026-07-17 10:17:00,408.09,2026-07-17 10:27:00
O00043,U0067,P002,MY,2026-07-17 17:43:00,COMPLETED,SUCCESS,2026-07-17 17:47:00,599.64,2026-07-17 18:03:00
O00044,U0069,P002,MY,2026-07-19 02:26:00,COMPLETED,SUCCESS,2026-07-19 02:31:00,808.85,2026-07-19 02:46:00
O00045,U0071,P002,MY,2026-07-17 20:53:00,COMPLETED,SUCCESS,2026-07-17 20:58:00,430.2,2026-07-17 21:13:00
O00046,U0072,P002,MY,2026-07-16 17:43:00,COMPLETED,SUCCESS,2026-07-16 17:51:00,1072.11,2026-07-16 18:03:00
O00047,U0073,P002,MY,2026-07-19 01:40:00,COMPLETED,SUCCESS,2026-07-19 01:42:00,1099.27,2026-07-19 02:00:00
O00048,U0074,P002,MY,2026-07-14 02:09:00,COMPLETED,SUCCESS,2026-07-14 02:13:00,1281.33,2026-07-14 02:29:00
O00049,U0075,P002,MY,2026-07-18 17:36:00,COMPLETED,SUCCESS,2026-07-18 17:43:00,742.81,2026-07-18 17:56:00
O00050,U0077,P002,MY,2026-07-19 10:33:00,COMPLETED,SUCCESS,2026-07-19 10:42:00,473.12,2026-07-19 10:53:00
O00051,U0079,P002,MY,2026-07-16 17:39:00,COMPLETED,SUCCESS,2026-07-16 17:48:00,668.41,2026-07-16 17:59:00
O00052,U0082,P002,MY,2026-07-14 13:17:00,COMPLETED,SUCCESS,2026-07-14 13:22:00,456.94,2026-07-14 13:37:00
O00053,U0083,P002,MY,2026-07-13 14:14:00,COMPLETED,SUCCESS,2026-07-13 14:17:00,976.06,2026-07-13 14:34:00
O00054,U0084,P002,MY,2026-07-16 23:26:00,COMPLETED,SUCCESS,2026-07-16 23:33:00,627.42,2026-07-16 23:46:00
O00055,U0086,P002,MY,2026-07-15 18:19:00,COMPLETED,SUCCESS,2026-07-15 18:26:00,791.04,2026-07-15 18:39:00
O00056,U0088,P002,MY,2026-07-12 07:24:00,COMPLETED,SUCCESS,2026-07-12 07:31:00,995.6,2026-07-12 07:44:00
O00057,U0091,P003,SG,2026-07-22 22:11:00,COMPLETED,SUCCESS,2026-07-22 22:18:00,559.09,2026-07-22 22:31:00
O00058,U0093,P003,SG,2026-07-18 20:30:00,COMPLETED,SUCCESS,2026-07-18 20:39:00,256.29,2026-07-18 20:50:00
O00059,U0096,P003,SG,2026-07-20 13:08:00,COMPLETED,SUCCESS,2026-07-20 13:10:00,819.37,2026-07-20 13:28:00
O00060,U0101,P003,SG,2026-07-25 15:12:00,COMPLETED,SUCCESS,2026-07-25 15:16:00,311.09,2026-07-25 15:32:00
O00061,U0103,P003,SG,2026-07-22 13:42:00,COMPLETED,SUCCESS,2026-07-22 13:51:00,911.3,2026-07-22 14:02:00
O00062,U0105,P003,SG,2026-07-22 21:45:00,COMPLETED,SUCCESS,2026-07-22 21:48:00,1006.17,2026-07-22 22:05:00
O00063,U0107,P003,SG,2026-07-25 19:37:00,COMPLETED,SUCCESS,2026-07-25 19:41:00,1112.8,2026-07-25 19:57:00
O00064,U0108,P003,SG,2026-07-22 22:36:00,COMPLETED,SUCCESS,2026-07-22 22:43:00,569.04,2026-07-22 22:56:00
O00065,U0109,P003,SG,2026-07-20 06:22:00,COMPLETED,SUCCESS,2026-07-20 06:28:00,506.62,2026-07-20 06:42:00
O00066,U0110,P003,SG,2026-07-23 12:12:00,COMPLETED,SUCCESS,2026-07-23 12:19:00,736.44,2026-07-23 12:32:00
O00067,U0112,P003,SG,2026-07-20 08:25:00,COMPLETED,SUCCESS,2026-07-20 08:30:00,929.36,2026-07-20 08:45:00
O00068,U0113,P003,SG,2026-07-22 12:47:00,COMPLETED,SUCCESS,2026-07-22 12:53:00,972.14,2026-07-22 13:07:00
O00069,U0114,P003,SG,2026-07-25 16:12:00,COMPLETED,SUCCESS,2026-07-25 16:21:00,1244.97,2026-07-25 16:32:00
O00070,U0118,P003,SG,2026-07-21 05:00:00,COMPLETED,SUCCESS,2026-07-21 05:03:00,500.74,2026-07-21 05:20:00
O00071,U0120,P003,SG,2026-07-18 03:36:00,COMPLETED,SUCCESS,2026-07-18 03:44:00,683.52,2026-07-18 03:56:00
O00072,U0122,P003,SG,2026-07-18 18:36:00,COMPLETED,SUCCESS,2026-07-18 18:37:00,365.9,2026-07-18 18:56:00
O00073,U0124,P003,SG,2026-07-24 14:14:00,COMPLETED,SUCCESS,2026-07-24 14:21:00,694.57,2026-07-24 14:34:00
O00074,U0126,P003,SG,2026-07-25 21:06:00,CREATED,FAILED,2026-07-25 21:10:00,887.07,2026-07-25 21:26:00
O00075,U0127,P003,SG,2026-07-19 20:35:00,COMPLETED,SUCCESS,2026-07-19 20:36:00,648.37,2026-07-19 20:55:00
O00076,U0128,P003,SG,2026-07-21 01:45:00,COMPLETED,SUCCESS,2026-07-21 01:53:00,277.3,2026-07-21 02:05:00
O00077,U0130,P003,SG,2026-07-23 19:14:00,COMPLETED,SUCCESS,2026-07-23 19:19:00,1108.29,2026-07-23 19:34:00
O00078,U0134,P003,SG,2026-07-22 16:05:00,COMPLETED,SUCCESS,2026-07-22 16:12:00,1006.99,2026-07-22 16:25:00
O00079,U0135,P003,SG,2026-07-25 04:53:00,COMPLETED,SUCCESS,2026-07-25 05:03:00,1244.86,2026-07-25 05:13:00
O00080,U0138,P004,MY,2026-07-25 05:05:00,COMPLETED,SUCCESS,2026-07-25 05:12:00,565.64,2026-07-25 05:25:00
O00081,U0139,P004,MY,2026-07-27 09:31:00,COMPLETED,SUCCESS,2026-07-27 09:38:00,1093.92,2026-07-27 09:51:00
O00082,U0140,P004,MY,2026-07-22 16:20:00,COMPLETED,SUCCESS,2026-07-22 16:27:00,1150.4,2026-07-22 16:40:00
O00083,U0141,P004,MY,2026-07-20 13:12:00,COMPLETED,SUCCESS,2026-07-20 13:22:00,1031.09,2026-07-20 13:32:00
O00084,U0142,P004,MY,2026-07-25 20:08:00,CREATED,FAILED,2026-07-25 20:16:00,1167.93,2026-07-25 20:28:00
O00085,U0146,P004,MY,2026-07-21 06:41:00,COMPLETED,SUCCESS,2026-07-21 06:49:00,1224.92,2026-07-21 07:01:00
O00086,U0147,P004,MY,2026-07-25 03:30:00,COMPLETED,SUCCESS,2026-07-25 03:39:00,358.11,2026-07-25 03:50:00
O00087,U0149,P004,MY,2026-07-24 10:21:00,CREATED,FAILED,2026-07-24 10:30:00,492.89,2026-07-24 10:41:00
O00088,U0152,P004,MY,2026-07-25 21:48:00,COMPLETED,SUCCESS,2026-07-25 21:56:00,1225.14,2026-07-25 22:08:00
O00089,U0154,P004,MY,2026-07-27 22:30:00,COMPLETED,SUCCESS,2026-07-27 22:37:00,623.69,2026-07-27 22:50:00
O00090,U0156,P004,MY,2026-07-21 01:55:00,COMPLETED,SUCCESS,2026-07-21 01:57:00,777.55,2026-07-21 02:15:00
O00091,U0157,P004,MY,2026-07-26 23:09:00,COMPLETED,SUCCESS,2026-07-26 23:14:00,571.42,2026-07-26 23:29:00
O00092,U0160,P004,MY,2026-07-20 17:15:00,COMPLETED,SUCCESS,2026-07-20 17:20:00,1296.17,2026-07-20 17:35:00
O00093,U0164,P004,MY,2026-07-22 14:33:00,COMPLETED,SUCCESS,2026-07-22 14:36:00,385.98,2026-07-22 14:53:00
O00094,U0166,P004,MY,2026-07-24 22:40:00,COMPLETED,SUCCESS,2026-07-24 22:45:00,932.52,2026-07-24 23:00:00
O00095,U0170,P004,MY,2026-07-24 02:54:00,COMPLETED,SUCCESS,2026-07-24 02:58:00,618.5,2026-07-24 03:14:00
O00096,U0172,P004,MY,2026-07-26 00:55:00,COMPLETED,SUCCESS,2026-07-26 00:56:00,1200.68,2026-07-26 01:15:00
O00097,U0174,P004,MY,2026-07-22 00:39:00,COMPLETED,SUCCESS,2026-07-22 00:42:00,890.07,2026-07-22 00:59:00
O00098,U0175,P004,MY,2026-07-24 16:02:00,COMPLETED,SUCCESS,2026-07-24 16:05:00,298.15,2026-07-24 16:22:00
O00099,U0176,P004,MY,2026-07-21 09:50:00,COMPLETED,SUCCESS,2026-07-21 09:56:00,782.94,2026-07-21 10:10:00
O00100,U0177,P004,MY,2026-07-25 03:51:00,COMPLETED,SUCCESS,2026-07-25 03:57:00,1083.66,2026-07-25 04:11:00
